"Source:"	"D:\5_Tinker\DrokJuntekSteroids\Drok-Juntek-on-steroids-main\Hardware\KiCAD\JuntekOnSteroidsTTGO.sch"
"Date:"	"26/08/2021 10:39:13"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"34"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"0.1µ"	"Device:C"	"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"	"Unpolarized capacitor"	""
"C2"	"0.1µ"	"Device:C"	"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"	"Unpolarized capacitor"	""
"C3"	"0.1µ"	"Device:C"	"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"	"Unpolarized capacitor"	""
"C4"	"0.1µ"	"Device:C"	"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"	"Unpolarized capacitor"	""
"C5"	"0.1µ"	"Device:C"	"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"	"Unpolarized capacitor"	""
"C6"	"0.1µ"	"Device:C"	"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"	"Unpolarized capacitor"	""
"C7"	"470µ"	"Device:CP"	"Capacitor_THT:CP_Radial_D8.0mm_P3.50mm"	"Polarized capacitor"	""
"C8"	"0.1µ"	"Device:C"	"Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm"	"Unpolarized capacitor"	""
"FID1"	"Fiducial"	"Mechanical:Fiducial"	"Fiducial:Fiducial_0.5mm_Mask1mm"	"Fiducial Marker"	""
"FID2"	"Fiducial"	"Mechanical:Fiducial"	"Fiducial:Fiducial_0.5mm_Mask1mm"	"Fiducial Marker"	""
"FID3"	"Fiducial"	"Mechanical:Fiducial"	"Fiducial:Fiducial_0.5mm_Mask1mm"	"Fiducial Marker"	""
"J1"	"To PSU host board"	"Connector_Generic:Conn_01x08"	"Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical"	"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J2"	"To PSU host board"	"Connector_Generic:Conn_01x08"	"Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical"	"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J4"	"ESP32-TFT"	"Connector_Generic:Conn_01x12"	"Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical"	"Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J5"	"ESP32-TFT"	"Connector_Generic:Conn_01x12"	"Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical"	"Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J6"	"feedback"	"Connector_Generic:Conn_01x03"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
